JURISDICTI3,DischargeJ_cf,DischargeJ_af,,,,,
ALISO VIEJO,14289910.21,328,,,"4,299",,"3,324"
DANA POINT,13337105.04,306,,,"4,072",,"3,275"
LAGUNA BEACH,3371097.885,77,,,"5,632",,599
LAGUNA HILLS,30382783.63,697,,,"3,498",,"8,686"
LAGUNA NIGUEL,104544012.9,"2,400",,,"9,464",,"11,046"
LAGUNA WOODS,1275233.394,29,,,756,,"1,687"
LAKE FOREST,13110983.54,301,,,"3,303",,"3,969"
MISSION VIEJO,29991778.53,689,,,"11,525",,"2,602"
,,,,,,,
ORANGE CO,54914464.11,"1,261",,,"94,761",,580
RANCHO SANTA MARGARITA,26736296.65,614,,,"8,280",,"3,229"
SAN CLEMENTE,20268217.05,465,,,"11,739",,"1,727"
SAN JUAN CAPISTRANO,9026645.694,207,,,"9,220",,979
,,,,,,,
,,615,,,,,
,,,,,,,"3,475"
