JURISDICTI3,QTot,DischargeJ_af
DANA POINT,13337105.035695035,306.17780155406416
LAGUNA BEACH,3371097.8853600603,77.38975861708127
LAGUNA NIGUEL,104544012.90487729,2400.000296255218
ORANGE CO,54914464.11010253,1260.6626287902325
LAGUNA HILLS,30382783.63122218,697.4927371722264
LAKE FOREST,13110983.540912775,300.98676632031163
MISSION VIEJO,29991778.52651722,688.5164950991098
ALISO VIEJO,14289910.214694677,328.0511986844508
RANCHO SANTA MARGARITA,26736296.65027188,613.7809148363609
SAN CLEMENTE,20268217.04756515,465.2942389248198
SAN JUAN CAPISTRANO,9026645.693721257,207.22327120572217
LAGUNA WOODS,1275233.3939980974,29.27533044072767
